"Time (s)","Pressure (hPa)"
-5.972970000E-1,8.386049652E2
4.032780000E-1,8.386694336E2
1.403853000E0,8.387339020E2
2.404427000E0,8.389161682E2
3.405003000E0,8.391478729E2
4.405580000E0,8.394090271E2
4.956399000E0,8.396753693E2
5.956973000E0,8.397980499E2
6.957547000E0,8.400679016E2
7.958124000E0,8.403348541E2
8.958698000E0,8.406001282E2
9.959274000E0,8.408641052E2
1.095985400E1,8.411259460E2
1.196043300E1,8.413845825E2
1.296100500E1,8.416362762E2
1.396158600E1,8.418799591E2
1.496215700E1,8.421266937E2
1.596273100E1,8.423688507E2
1.696330700E1,8.426132202E2
1.796388300E1,8.428559113E2
1.896445800E1,8.431121063E2
1.996503600E1,8.433612823E2
2.096561700E1,8.436196136E2
2.196619100E1,8.438655090E2
2.296676500E1,8.441104126E2
2.396734300E1,8.443490601E2
2.496791700E1,8.445934296E2
2.596849400E1,8.448367310E2
2.696907400E1,8.450968170E2
2.796964500E1,8.453599548E2
2.897022100E1,8.456174469E2
2.997079600E1,8.458670807E2
3.097137100E1,8.461141205E2
3.197195000E1,8.463639832E2
3.297252900E1,8.466197968E2
3.397310500E1,8.468813324E2
3.497367900E1,8.471489716E2
3.597425400E1,8.474149323E2
3.697483400E1,8.476736450E2
3.797583900E1,8.479301453E2
3.897598600E1,8.481873322E2
3.997655900E1,8.484407043E2
4.097713400E1,8.486963654E2
4.197771600E1,8.489480591E2
4.297828900E1,8.491966248E2
4.397886800E1,8.494367218E2
4.497944200E1,8.496871185E2
4.598001900E1,8.499372101E2
4.698059300E1,8.501779175E2
4.798116700E1,8.504187012E2
4.898174500E1,8.506616211E2
4.998232200E1,8.509006500E2
5.098289800E1,8.511457062E2
5.198347400E1,8.514026642E2
5.298404900E1,8.516609955E2
5.398462600E1,8.519204712E2
5.498520200E1,8.521755219E2
5.598578100E1,8.524320221E2
5.698643600E1,8.526905060E2
5.798693300E1,8.529545593E2
5.898750700E1,8.532175446E2
5.998808500E1,8.534786987E2
6.098866000E1,8.537319183E2
6.198923900E1,8.539806366E2
6.298981200E1,8.542279816E2
6.399038800E1,8.544790649E2
6.499096600E1,8.547222900E2
6.599153900E1,8.549629211E2
6.699211600E1,8.552047729E2
6.799269400E1,8.554551697E2
6.899327500E1,8.557005310E2
6.999384800E1,8.559581757E2
7.099442300E1,8.562222290E2
7.199500000E1,8.564813995E2
7.299557800E1,8.567298889E2
7.399615200E1,8.569805908E2
7.499672500E1,8.572267151E2
7.599774100E1,8.574769592E2
7.699788100E1,8.577310944E2
7.799845500E1,8.579845428E2
7.899902900E1,8.582353210E2
7.999960800E1,8.584938812E2
8.100018300E1,8.587497711E2
8.200075800E1,8.590097809E2
8.300133400E1,8.592707062E2
8.400191400E1,8.595352936E2
8.500248800E1,8.597899628E2
8.600306500E1,8.600381470E2
8.700387600E1,8.602769470E2
8.800421600E1,8.605254364E2
8.900479300E1,8.607725525E2
9.000536900E1,8.610256195E2
9.100594500E1,8.612777710E2
9.200652900E1,8.615409088E2
9.300709900E1,8.618006134E2
9.400767500E1,8.620649719E2
9.500825000E1,8.623233032E2
9.600882500E1,8.625836182E2
9.700940300E1,8.628421783E2
9.801029300E1,8.630980682E2
9.901055300E1,8.633468628E2
1.000111280E2,8.636045837E2
1.010117060E2,8.638650513E2
1.020122810E2,8.641135406E2
1.030128580E2,8.643522644E2
1.040134380E2,8.645941162E2
1.050140110E2,8.648390961E2
1.060145880E2,8.650912476E2
1.070151660E2,8.653417206E2
1.080157400E2,8.655991364E2
1.090167090E2,8.658581543E2
1.100168930E2,8.661128998E2
1.110174680E2,8.663588715E2
1.120180450E2,8.666214752E2
1.130186200E2,8.668864441E2
1.140191990E2,8.671424866E2
1.150197760E2,8.673948669E2
1.160203500E2,8.676458740E2
1.170209280E2,8.678997803E2
1.180215010E2,8.681588745E2
1.190220770E2,8.684272766E2
1.200228500E2,8.686971283E2
1.210232310E2,8.689621735E2
1.220238090E2,8.692167664E2
1.230243850E2,8.694648743E2
1.240249580E2,8.697148132E2
1.250255330E2,8.699641418E2
1.260261090E2,8.702101135E2
1.270266850E2,8.704585266E2
1.280272640E2,8.707073212E2
1.290278390E2,8.709580994E2
1.300284160E2,8.712152100E2
1.310289940E2,8.714850616E2
1.320295700E2,8.717527008E2
1.330301450E2,8.720193481E2
1.340307190E2,8.722755432E2
1.350312950E2,8.725293732E2
1.360318720E2,8.727821350E2
1.370324510E2,8.730385590E2
1.380330250E2,8.732965851E2
1.390336010E2,8.735580444E2
1.400341780E2,8.738169861E2
1.410347520E2,8.740814209E2
1.420353330E2,8.743464661E2
1.430359070E2,8.746102142E2
1.440364840E2,8.748699951E2
1.450370580E2,8.751295471E2
1.460376320E2,8.753791809E2
1.470382080E2,8.756250000E2
1.480387880E2,8.758750153E2
1.490393630E2,8.761312866E2
1.500399460E2,8.763850403E2
1.510405180E2,8.766369629E2
1.520410940E2,8.768848419E2
1.530416700E2,8.771337128E2
1.540422430E2,8.773878479E2
1.550428210E2,8.776473236E2
1.560438550E2,8.779071045E2
1.570439720E2,8.781699371E2
1.580445490E2,8.784313202E2
1.590451230E2,8.786860657E2
1.600457000E2,8.789432526E2
1.610462770E2,8.791883850E2
1.620468530E2,8.794339752E2
1.630474280E2,8.796837616E2
1.640480060E2,8.799351501E2
1.650485820E2,8.801934052E2
1.660491600E2,8.804626465E2
1.670497350E2,8.807392883E2
1.680503120E2,8.810122681E2
1.690508840E2,8.812803650E2
1.700514630E2,8.815343475E2
1.710520390E2,8.817896271E2
1.720526130E2,8.820414734E2
1.730531890E2,8.822948456E2
1.740537640E2,8.825491333E2
1.750543400E2,8.828025818E2
1.760549210E2,8.830574036E2
1.770554980E2,8.833185577E2
1.780560710E2,8.835774994E2
1.790566470E2,8.838363647E2
1.800572300E2,8.840998840E2
1.810578010E2,8.843618774E2
1.820583810E2,8.846154785E2
1.830589500E2,8.848704529E2
1.840595290E2,8.851312256E2
1.850601070E2,8.853930664E2
1.860606810E2,8.856578827E2
1.870612560E2,8.859155273E2
1.880618350E2,8.861696625E2
1.890624090E2,8.864303589E2
1.900629870E2,8.866872406E2
1.910635600E2,8.869493103E2
1.920643410E2,8.872173309E2
1.930647150E2,8.874893951E2
1.940652970E2,8.877487183E2
1.950658670E2,8.880071259E2
1.960664450E2,8.882538605E2
1.970670200E2,8.884997559E2
1.980675960E2,8.887444305E2
1.990681740E2,8.889907837E2
2.000687480E2,8.892376709E2
2.010693290E2,8.894927979E2
2.020699020E2,8.897533417E2
2.030704800E2,8.900185394E2
2.040710520E2,8.902924347E2
2.050716300E2,8.905629730E2
2.060722070E2,8.908287048E2
2.070727820E2,8.910897827E2
2.080733630E2,8.913449860E2
2.090739350E2,8.915932465E2
2.100745130E2,8.918431091E2
2.110750870E2,8.920941162E2
2.120756620E2,8.923452759E2
2.130762390E2,8.926010895E2
2.140768180E2,8.928620148E2
2.150773900E2,8.931208801E2
2.160779680E2,8.933817291E2
2.170788270E2,8.936425781E2
2.180791230E2,8.939022827E2
2.190796970E2,8.941487122E2
2.200802730E2,8.944042969E2
2.210808470E2,8.946641541E2
2.220814300E2,8.949269867E2
2.230820030E2,8.951900482E2
2.240825800E2,8.954538727E2
2.250831550E2,8.957154083E2
2.260837310E2,8.959772491E2
2.270843010E2,8.962421417E2
2.280848850E2,8.964994812E2
2.290854590E2,8.967588043E2
2.300860350E2,8.970162201E2
2.310866120E2,8.972689056E2
2.320871890E2,8.975125122E2
2.330877660E2,8.977619171E2
2.340883410E2,8.980197906E2
2.350889170E2,8.982815552E2
2.360894940E2,8.985440063E2
2.370900710E2,8.988048553E2
2.380906470E2,8.990749359E2
2.390912230E2,8.993403625E2
2.400917970E2,8.996070862E2
2.410923740E2,8.998730469E2
2.420930530E2,9.001473999E2
2.430935280E2,9.004010773E2
2.440941010E2,9.006521606E2
2.450946790E2,9.009072876E2
2.460952560E2,9.011561584E2
2.470958300E2,9.013781738E2
2.480964090E2,9.016053009E2
2.490969840E2,9.018437958E2
2.500975610E2,9.020828247E2
2.510981360E2,9.023252869E2
2.520987120E2,9.026026154E2
2.530996270E2,9.028946686E2
2.540998680E2,9.031805420E2
2.551004400E2,9.034573364E2
2.561010160E2,9.037281036E2
2.571015950E2,9.039923859E2
2.581021720E2,9.042494202E2
2.591027460E2,9.045051575E2
2.601033250E2,9.047671509E2
2.611038980E2,9.050329590E2
2.621044780E2,9.053032684E2
2.631050520E2,9.055685425E2
2.641056280E2,9.058318329E2
2.651062050E2,9.061017609E2
2.661067780E2,9.063666534E2
2.671073570E2,9.066267395E2
2.681079330E2,9.068807220E2
2.691085080E2,9.071419525E2
2.701090870E2,9.073950195E2
2.711100080E2,9.076555634E2
2.721102370E2,9.079119873E2
2.731108130E2,9.081790924E2
2.741113910E2,9.084381866E2
2.751119710E2,9.087042999E2
2.761125420E2,9.089472198E2
2.771131180E2,9.092014313E2
2.781136950E2,9.094546509E2
2.791142720E2,9.097197723E2
2.801148470E2,9.099775696E2
2.811154230E2,9.102507782E2
2.821160010E2,9.105246735E2
2.831165750E2,9.107991028E2
2.841171540E2,9.110648346E2
2.851181000E2,9.113323212E2
2.861183070E2,9.115970612E2
2.871188810E2,9.118722534E2
2.881194570E2,9.121431732E2
2.891200350E2,9.124271393E2
2.901206110E2,9.127059174E2
2.911211910E2,9.129890442E2
2.921217650E2,9.132627869E2
2.931223400E2,9.135320282E2
2.941229190E2,9.137983704E2
2.951236830E2,9.140678406E2
2.961240710E2,9.143322754E2
2.971246460E2,9.145919037E2
2.981252220E2,9.148578644E2
2.991258000E2,9.151305389E2
3.001263770E2,9.153918457E2
3.011269540E2,9.156610870E2
3.021275260E2,9.159407043E2
3.031281050E2,9.162142944E2
3.041286820E2,9.164746857E2
3.051292570E2,9.167508698E2
3.061298330E2,9.170325470E2
3.071304070E2,9.173096466E2
3.081309850E2,9.175846100E2
3.091315630E2,9.178641510E2
