FractionalDate	CorrectedCountRate[cts/min]
1964	6459
1965	6517
1966	6295
1967	6033
1968	5877
1969	5772
1970	5809
1971	6191
1972	6293
1973	6344
1974	6274
1975	6407
1976	6446
1977	6421
1978	6239
1979	5945
1980	5794
1981	5638
1982	5583
1983	5771
1984	5868
1985	6152
1986	6384
1987	6431
1988	6053
1989	5480
1990	5416
1991	5432
1992	5922
1993	6203
1994	6280
1995	6387
1996	6502
1997	6545
1998	6399
1999	6209
2000	5784
2001	5879
2002	5806
2003	5759
2004	6093
2005	6157
2006	6479
2007	6633
2008	6662
2009	6804
2010	6623
2011	6416
2012	6269
2013	6209
2014	6153
2015	6147
2016	6474
2017	6598
2018	6687
2019	6721
2020	6781
