"Time (s)","Pressure (hPa)"
6.619466000E-2,8.776578369E2
9.126826800E-2,8.776639404E2
1.163448480E-1,8.776547852E2
1.414015300E-1,8.776425781E2
1.664869800E-1,8.776547852E2
1.915652680E-1,8.776761475E2
2.166455100E-1,8.777036133E2
2.417049580E-1,8.777280273E2
2.667944370E-1,8.777341309E2
2.918540480E-1,8.777188721E2
3.169426320E-1,8.777066650E2
3.420125780E-1,8.777158203E2
3.671004700E-1,8.777158203E2
3.921756650E-1,8.777280273E2
4.172415850E-1,8.777371826E2
4.423395260E-1,8.777341309E2
4.674036540E-1,8.777127686E2
4.924775480E-1,8.777005615E2
5.175568950E-1,8.776853027E2
5.426217960E-1,8.776700439E2
5.677064320E-1,8.776822510E2
5.927821560E-1,8.777097168E2
6.178567830E-1,8.777310791E2
6.429187140E-1,8.777158203E2
6.680090060E-1,8.777097168E2
6.930863580E-1,8.777371826E2
7.181610260E-1,8.777738037E2
7.432424060E-1,8.777860107E2
7.683150390E-1,8.777951660E2
7.933901940E-1,8.778195801E2
8.184745050E-1,8.778470459E2
8.435649180E-1,8.778592529E2
8.686158640E-1,8.778500977E2
8.936829620E-1,8.778378906E2
9.187654420E-1,8.778226318E2
9.438387250E-1,8.778226318E2
9.689095670E-1,8.778226318E2
9.940085660E-1,8.778101807E2
1.019064110E0,8.777949219E2
1.044137759E0,8.778071289E2
1.069210717E0,8.778315430E2
1.094285546E0,8.778468018E2
1.119344711E0,8.778468018E2
1.144435857E0,8.778468018E2
1.169506700E0,8.778529053E2
1.194566758E0,8.778590088E2
1.219655057E0,8.778681641E2
1.244734037E0,8.778590088E2
1.269805774E0,8.778681641E2
1.294882231E0,8.778773193E2
1.319954050E0,8.778895264E2
1.345031199E0,8.778742676E2
1.370090933E0,8.778925781E2
1.395180858E0,8.779139404E2
1.420242302E0,8.779108887E2
1.445332064E0,8.778742676E2
1.470404046E0,8.778681641E2
1.495467197E0,8.779078369E2
1.520557977E0,8.779383545E2
1.545613968E0,8.779353027E2
1.570703079E0,8.779200439E2
1.595777055E0,8.779291992E2
1.620847245E0,8.779322510E2
1.645921181E0,8.779261475E2
1.670981890E0,8.779108887E2
1.696066445E0,8.779200439E2
1.721138345E0,8.779414062E2
1.746213419E0,8.779566650E2
